Brand;Price;Ram;CPU;GPU;Display;Storage
ASUS;212900;24;5157,91;0,00;52,64;4285,71
Aorus;368900;16;4681,43;0,00;66,69;8571,43
ASUS;118999;16;0,00;0,00;49,87;4285,71
Aorus;350900;32;4681,43;0,00;90,27;1097,14
HP;115999;64;3279,53;0,00;25,99;4285,71
HP;497900;64;2809,54;0,00;32,40;17142,86
Lenovo;87900;16;3979,73;0,00;46,62;2142,86
Lenovo;77900;36;3279,53;0,00;12,68;4285,71
HP;111900;20;3370,68;0,00;28,75;2142,86
HP;139900;64;3664,12;0,00;28,75;8571,43
ASUS;39900;8;3626,69;0,00;12,68;548,57
ASUS;47999;12;3626,69;0,00;12,68;1097,14
MSI;109900;16;3300,89;0,00;46,75;2142,86
HP;182900;128;4037,04;0,00;28,75;4285,71
LG;169900;16;4180,51;0,00;46,62;2142,86
LG;154900;16;4442,10;0,00;43,35;2142,86
ASUS;187900;64;5157,91;0,00;52,64;8571,43
ASUS;167900;32;0,00;0,00;69,12;4285,71
ASUS;269999;64;0,00;0,00;69,12;2142,86
ASUS;216999;16;0,00;0,00;69,12;4285,71
HP;59656;16;3059,80;0,00;11,28;2142,86
HP;62900;32;3059,80;0,00;11,28;4285,71
ASUS;52900;8;3059,80;0,00;28,75;1097,14
HP;118900;32;3979,73;0,00;28,75;2142,86
HP;126900;32;3801,17;0,00;32,40;2142,86
MSI;92999;24;2375,46;0,00;41,61;1097,14
Acer;184998;16;5139,14;0,00;85,19;2142,86
HP;104834;16;4003,89;0,00;38,50;548,57
MSI;84999;8;2375,46;0,00;41,61;1097,14
Lenovo;221900;48;5069,15;0,00;93,70;4285,71
ASUS;591900;64;6427,28;0,00;85,19;17142,86
Lenovo;164999;24;4180,51;0,00;30,14;2142,86
Acer;34500;4;2227,80;9,37;32,40;274,29
HP;165000;16;4180,51;0,00;76,73;2142,86
Acer;89900;8;3133,96;0,00;46,75;548,57
HP;77999;16;4681,43;0,00;99,23;548,57
HP;249900;32;4084,38;0,00;68,76;4285,71
ASUS;49900;20;2718,60;0,00;11,28;1097,14
HP;99900;16;4036,08;0,00;46,75;2142,86
HP;56900;8;3279,53;0,00;12,68;1097,14
LG;154900;16;4180,51;0,00;28,75;2142,86
MSI;300900;32;4681,43;0,00;69,12;17142,86
ASUS;184999;64;0,00;0,00;69,12;2142,86
ASUS;154999;64;4300,12;0,00;66,69;4285,71
Acer;179400;16;4274,23;0,00;46,75;466,67
LG;143900;16;4442,10;0,00;43,35;1097,14
Gigabyte;207400;64;4681,43;0,00;129,57;2142,86
ASUS;196900;32;5157,91;0,00;52,64;2142,86
ASUS;209900;24;5157,91;0,00;52,64;2142,86
Lenovo;125999;32;0,00;0,00;32,40;1097,14
HP;185900;64;5209,73;0,00;59,47;2142,86
ASUS;233900;64;4491,93;0,00;46,75;8571,43
Acer;220900;16;4084,38;0,00;69,12;2142,86
HP;54900;8;3279,53;0,00;11,53;1097,14
LG;153900;16;4180,51;0,00;43,35;1097,14
HP;139900;64;3979,73;0,00;25,99;8571,43
HP;101900;32;3979,73;0,00;25,99;1097,14
ASUS;243999;16;6427,28;0,00;77,72;2142,86
Acer;169999;64;4681,43;0,00;51,25;2142,86
MSI;240999;32;4491,93;0,00;46,75;4285,71
HP;154999;32;3979,73;35,83;28,75;2142,86
Acer;167900;20;3540,62;0,00;28,75;8571,43
MSI;338999;16;4491,93;0,00;46,75;17142,86
Acer;96900;8;3540,62;0,00;28,75;933,33
ASUS;114999;16;4300,12;0,00;46,75;2142,86
HP;59999;32;3059,80;0,00;11,28;2142,86
HP;167499;64;3540,62;0,00;32,40;2142,86
HP;116499;32;3540,62;0,00;11,28;2142,86
HP;59900;32;1864,72;3,89;11,28;4285,71
Acer;48000;8;3138,05;0,00;28,75;548,57
HP;110900;8;2091,17;11,05;11,53;2142,86
HP;63999;16;3059,80;0,00;28,75;2142,86
ASUS;97999;16;3218,12;0,00;43,99;2142,86
MSI;109900;32;3133,96;0,00;28,75;4285,71
HP;77900;32;3773,52;0,00;11,55;4285,71
HP;100900;16;3138,05;0,00;11,55;466,67
Dell;124599;32;3133,96;13,62;28,75;4285,71
Dell;71900;8;3279,53;0,00;28,75;548,57
