Name;Brand;Price;Ram;CPU;GPU;Display;Storage
ASUS ProArt Studiobook 16;ASUS;280900;32;6233,667213;0;105,4318711;4285,714286
MSI Katana GF76;MSI;225400;64;4681,425152;0;43,98752411;2142,857143
HP 14;HP;84999;32;3138,054716;0;32,40413851;4285,714286
HP ENVY x360 15;HP;109900;32;3924,666866;0;28,75459559;2142,857143
HP ENVY x360 15;HP;109900;32;3664,115374;0;28,75459559;2142,857143
HP ENVY x360 15;HP;104900;16;3664,115374;0;28,75459559;2142,857143
Acer Aspire 5;Acer;111900;12;3540,616004;0;28,75459559;1097,142857
HP ZBook Fury 15 G8;HP;210499;64;4037,036693;0;28,75459559;466,6666667
HP ZBook Fury 15 G8;HP;204999;64;4037,036693;0;28,75459559;2142,857143
Acer Aspire 5;Acer;79900;16;1937,877141;19,33883727;28,75459559;466,6666667
LG gram 16;LG;143900;16;4180,505353;0;46,61684783;1097,142857
LG gram 16;LG;155900;16;4180,505353;0;46,61684783;1097,142857
ASUS Zenbook 14X;ASUS;79999;8;4480,439852;0;100,9124773;2142,857143
ASUS ROG Strix G16;ASUS;174999;64;5157,914468;0;52,6392663;4285,714286
ASUS Zenbook Pro 14;ASUS;279999;48;5209,731613;0;100,9124773;2142,857143
Acer Aspire 5;Acer;99900;16;4233,092812;0;28,75459559;1097,142857
ASUS Zenbook 14X;ASUS;120900;16;4814,25426;0;88,05533439;2142,857143
MSI Raider GE77;MSI;398900;32;5069,147109;0;90,27323839;2142,857143
HP 15;HP;101900;8;3279,528958;0;28,75459559;1097,142857
HP EliteBook 860 G9;HP;157900;64;4318,567561;0;30,1392663;2142,857143
Lenovo IdeaPad 3 14;Lenovo;49800;8;3138,054716;0;32,40413851;548,5714286
HP 15;HP;109999;32;3279,528958;0;28,75459559;2142,857143
HP 17;HP;39999;8;3773,52246;0;11,54554906;274,2857143
Acer Aspire 3;Acer;49999;8;0;7,307845952;28,75459559;548,5714286
MSI Vector GP66;MSI;349900;32;4491,934191;0;93,04030987;8571,428571
MSI Thin GF63;MSI;134900;16;4491,934191;0;46,75459559;2142,857143
ASUS ROG Flow X16;ASUS;253999;16;0;0;69,11684783;4285,714286
Acer Aspire 5;Acer;100900;16;4233,092812;0;28,75459559;2142,857143
ASUS TUF Dash F15;ASUS;131900;16;4491,934191;0;66,68834842;2142,857143
ASUS TUF Dash F15;ASUS;233900;64;4491,934191;0;46,75459559;8571,428571
Lenovo IdeaPad 5 Pro 16;Lenovo;82900;8;3811,785213;0;46,61684783;4285,714286
Acer Predator Triton 500 SE;Acer;552900;64;4084,383139;0;69,11684783;17142,85714
HP 17;HP;87299;12;3773,52246;0;11,54554906;4285,714286
AORUS 15P;Aorus;338900;64;4084,383139;0;80,18316702;4285,714286
AORUS 15P;Aorus;266900;16;4084,383139;0;80,18316702;4285,714286
ASUS ROG Zephyrus G14;ASUS;136900;16;0;132,8662275;68,38079151;4285,714286
ASUS ROG Zephyrus G14;ASUS;131999;24;4132,962943;0;63,69835907;4285,714286
HP 15;HP;55999;32;2884,327398;0;11,27864112;2142,857143
HP ENVY 17;HP;192999;64;4233,092812;0;25,98752411;4285,714286
HP Victus 15;HP;121999;32;0;0;46,75459559;4285,714286
Lenovo ThinkPad P16 Gen 1;Lenovo;231900;64;5069,147109;0;93,69565217;4285,714286
Acer Nitro 5;Acer;114900;16;4349,913606;0;43,98752411;2142,857143
HP 15;HP;212500;64;3279,528958;0;11,27864112;933,3333333
Acer Aspire 5;Acer;79900;36;473,2347082;0;28,75459559;2142,857143
HP Spectre x360 16;HP;150900;16;4814,25426;0;63,18858696;2142,857143
HP ZBook Fury 17 G8;HP;242499;64;4151,796162;0;25,98752411;933,3333333
Lenovo ThinkPad X1 Yoga Gen 8;Lenovo;259900;64;4857,479485;0;35,03800676;4285,714286
HP 15;HP;109900;32;4180,505353;0;28,75459559;8571,428571
Lenovo ThinkPad P16s Gen 1;Lenovo;164427;32;4180,505353;0;30,1392663;2142,857143
ASUS Vivobook S 16X;ASUS;127900;40;4681,425152;0;30,1392663;2142,857143
Acer Nitro 5;Acer;122999;8;4084,383139;0;46,75459559;2142,857143
AORUS 15;Aorus;431900;32;4681,425152;0;66,68834842;4285,714286
HP OMEN 17;HP;261900;64;5438,961012;0;61,64416586;4285,714286
Dell G15 5520;Dell;181900;32;4681,425152;0;41,61173845;4285,714286
AORUS 17X;Aorus;369900;32;4681,425152;0;90,27323839;1097,142857
ASUS ROG Strix G17;ASUS;229900;64;6427,280758;0;77,71559443;4285,714286
AORUS 15;Aorus;356900;32;4681,425152;0;66,68834842;4285,714286
ASUS VivoBook 15;ASUS;84900;32;3059,796176;0;28,75459559;2142,857143
HP OMEN 16;HP;190900;16;4036,075533;0;45,84613832;1097,142857
MSI GF65 Thin;MSI;149900;32;3300,890712;0;46,75459559;4285,714286
Lenovo IdeaPad Flex 5 16;Lenovo;124900;16;3979,729698;0;46,61684783;4285,714286
MSI Cyborg 15;MSI;267900;64;4653,218538;0;46,75459559;17142,85714
HP OMEN 16;HP;190900;32;5139,135439;0;84,83353837;2142,857143
ASUS ROG Strix G16;ASUS;160399;40;5157,914468;0;52,6392663;4285,714286
ASUS ROG Strix G16;ASUS;191999;16;5157,914468;0;52,6392663;2142,857143
HP 17;HP;109900;16;3979,729698;0;25,98752411;466,6666667
Lenovo Legion 5 Pro 16;Lenovo;141999;8;4036,075533;0;69,11684783;1097,142857
HP ZBook Firefly 14 G7;HP;249900;32;2809,54399;0;32,40413851;4285,714286
MSI Cyborg 15;MSI;117900;32;4491,934191;0;46,75459559;2142,857143
HP 14;HP;59999;32;3370,678745;0;11,52745777;2142,857143
ASUS ZenBook 13;ASUS;89999;8;3370,678745;0;44,98430576;2142,857143
